2.0	0.0	4.27
2.0	0.25	4.178
2.0	0.5	4.092
2.0	0.75	4.02
2.0	1.0	3.961
2.0	1.25	3.912
2.0	1.5	3.849
2.0	1.75	3.781
2.0	2.0	3.761
2.0	2.25	3.747
2.0	2.5	3.734
2.0	2.75	3.721
2.0	3.0	3.709
2.0	3.25	3.697
2.0	3.5	3.687
2.0	3.75	3.678
2.0	4.0	3.669
2.0	4.25	3.661
2.0	4.5	3.653
2.0	4.75	3.646
2.0	5.0	3.638
2.5	0.0	3.403
2.5	0.25	3.336
2.5	0.5	3.268
2.5	0.75	3.21
2.5	1.0	3.163
2.5	1.25	3.122
2.5	1.5	3.072
2.5	1.75	3.019
2.5	2.0	3.003
2.5	2.25	2.992
2.5	2.5	2.981
2.5	2.75	2.971
2.5	3.0	2.961
2.5	3.25	2.952
2.5	3.5	2.944
2.5	3.75	2.937
2.5	4.0	2.93
2.5	4.25	2.923
2.5	4.5	2.917
2.5	4.75	2.911
2.5	5.0	2.906
3.0	0.0	2.887
3.0	0.25	2.799
3.0	0.5	2.717
3.0	0.75	2.661
3.0	1.0	2.614
3.0	1.25	2.576
3.0	1.5	2.544
3.0	1.75	2.519
3.0	2.0	2.5
3.0	2.25	2.488
3.0	2.5	2.48
3.0	2.75	2.472
3.0	3.0	2.465
3.0	3.25	2.458
3.0	3.5	2.451
3.0	3.75	2.444
3.0	4.0	2.439
3.0	4.25	2.433
3.0	4.5	2.428
3.0	4.75	2.424
3.0	5.0	2.419
3.5	0.0	2.47
3.5	0.25	2.398
3.5	0.5	2.326
3.5	0.75	2.278
3.5	1.0	2.238
3.5	1.25	2.205
3.5	1.5	2.178
3.5	1.75	2.157
3.5	2.0	2.141
3.5	2.25	2.131
3.5	2.5	2.123
3.5	2.75	2.117
3.5	3.0	2.11
3.5	3.25	2.104
3.5	3.5	2.098
3.5	3.75	2.093
3.5	4.0	2.088
3.5	4.25	2.083
3.5	4.5	2.079
3.5	4.75	2.075
3.5	5.0	2.071
4.0	0.0	2.11
4.0	0.25	2.056
4.0	0.5	2.02
4.0	0.75	1.989
4.0	1.0	1.963
4.0	1.25	1.941
4.0	1.5	1.9
4.0	1.75	1.881
4.0	2.0	1.873
4.0	2.25	1.866
4.0	2.5	1.858
4.0	2.75	1.852
4.0	3.0	1.846
4.0	3.25	1.84
4.0	3.5	1.835
4.0	3.75	1.83
4.0	4.0	1.826
4.0	4.25	1.822
4.0	4.5	1.818
4.0	4.75	1.815
4.0	5.0	1.811
4.5	0.0	1.874
4.5	0.25	1.826
4.5	0.5	1.794
4.5	0.75	1.767
4.5	1.0	1.744
4.5	1.25	1.724
4.5	1.5	1.688
4.5	1.75	1.671
4.5	2.0	1.664
4.5	2.25	1.658
4.5	2.5	1.651
4.5	2.75	1.645
4.5	3.0	1.64
4.5	3.25	1.634
4.5	3.5	1.63
4.5	3.75	1.626
4.5	4.0	1.622
4.5	4.25	1.619
4.5	4.5	1.615
4.5	4.75	1.612
4.5	5.0	1.609
5.0	0.0	1.69
5.0	0.25	1.664
5.0	0.5	1.629
5.0	0.75	1.601
5.0	1.0	1.576
5.0	1.25	1.556
5.0	1.5	1.532
5.0	1.75	1.506
5.0	2.0	1.498
5.0	2.25	1.493
5.0	2.5	1.487
5.0	2.75	1.482
5.0	3.0	1.476
5.0	3.25	1.472
5.0	3.5	1.468
5.0	3.75	1.464
5.0	4.0	1.461
5.0	4.25	1.457
5.0	4.5	1.454
5.0	4.75	1.451
5.0	5.0	1.448
5.5	0.0	1.578
5.5	0.25	1.527
5.5	0.5	1.484
5.5	0.75	1.455
5.5	1.0	1.43
5.5	1.25	1.409
5.5	1.5	1.391
5.5	1.75	1.377
5.5	2.0	1.368
5.5	2.25	1.361
5.5	2.5	1.356
5.5	2.75	1.352
5.5	3.0	1.347
5.5	3.25	1.343
5.5	3.5	1.339
5.5	3.75	1.335
5.5	4.0	1.331
5.5	4.25	1.328
5.5	4.5	1.327
5.5	4.75	1.324
5.5	5.0	1.321
6.0	0.0	1.457
6.0	0.25	1.409
6.0	0.5	1.374
6.0	0.75	1.347
6.0	1.0	1.324
6.0	1.25	1.305
6.0	1.5	1.289
6.0	1.75	1.275
6.0	2.0	1.261
6.0	2.25	1.257
6.0	2.5	1.251
6.0	2.75	1.248
6.0	3.0	1.245
6.0	3.25	1.237
6.0	3.5	1.235
6.0	3.75	1.233
6.0	4.0	1.23
6.0	4.25	1.227
6.0	4.5	1.222
6.0	4.75	1.219
6.0	5.0	1.216
6.5	0.0	1.34
6.5	0.25	1.296
6.5	0.5	1.264
6.5	0.75	1.239
6.5	1.0	1.218
6.5	1.25	1.198
6.5	1.5	1.182
6.5	1.75	1.17
6.5	2.0	1.161
6.5	2.25	1.157
6.5	2.5	1.152
6.5	2.75	1.147
6.5	3.0	1.143
6.5	3.25	1.14
6.5	3.5	1.135
6.5	3.75	1.135
6.5	4.0	1.132
6.5	4.25	1.13
6.5	4.5	1.125
6.5	4.75	1.123
6.5	5.0	1.119
7.0	0.0	1.241
7.0	0.25	1.201
7.0	0.5	1.171
7.0	0.75	1.146
7.0	1.0	1.125
7.0	1.25	1.108
7.0	1.5	1.095
7.0	1.75	1.083
7.0	2.0	1.077
7.0	2.25	1.072
7.0	2.5	1.068
7.0	2.75	1.064
7.0	3.0	1.059
7.0	3.25	1.057
7.0	3.5	1.053
7.0	3.75	1.049
7.0	4.0	1.047
7.0	4.25	1.045
7.0	4.5	1.043
7.0	4.75	1.041
7.0	5.0	1.039
